"patch","user","nn","avg_speed","duration","noutliers","lon_center","lat_center","rgyration","dw","ini_dat"
5949,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,11.2329928974105,3,0,-71.0777725333333,42.3644411,0.00771480786648009,1,1475335400
5950,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,14.7365671822366,3,0,-71.0771913,42.3650487666667,0.0101763645158769,1,1475335406
5951,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,10.5496964901146,4,0,-71.0766476,42.3656094333333,0.00880282666068873,1,1475335412
5954,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,13.3008940838848,2,0,-71.0747916333333,42.3675290666667,0.00746621501024703,1,1475335433
5956,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,10.4694713607963,4,0,-71.0732255333333,42.3690912333333,0.0117015323823188,1,1475335516
6006,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,1.05327733483121,50,0,-71.0726387,42.3698674333333,0.00415480634266479,1,1475357536
6007,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,5.94576017464428,9,0,-71.0731911666667,42.3694772333333,0.00893854073083715,1,1475357624
6016,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,9.8971647474482,3,0,-71.0896649333333,42.3641305333333,0.00734101187084796,1,1475358741
6017,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,16.2667650838585,3,0,-71.0898244333333,42.3635884666667,0.0097169230208269,1,1475358745
6121,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,18.6829240497228,2,0,-71.0727537666667,42.3571763,0.0105040083869707,1,1475422214
6124,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,20.3752507518413,2,0,-71.0722640333333,42.3587927333333,0.0117020439460754,1,1475422223
6126,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",4,16.5785722015208,3,0,-71.0723267,42.360934425,0.00970253674558493,1,1475422235
6131,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,13.9724997166858,3,0,-71.0704274,42.3632309,0.00968163740794726,1,1475422257
6207,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,19.5815477712554,2,0,-71.0728561333333,42.3614115666667,0.0111040337448004,1,1475457268
6208,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,17.0837172696627,2,0,-71.0725679666667,42.3604157666667,0.00959160323802214,1,1475457274
6215,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,24.9980921734162,2,0,-71.0736429,42.3561696333333,0.0113498203810723,1,1475457299
6306,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,17.9637345473527,2,0,-71.0843499333333,42.3598542333333,0.0101994853093613,1,1475500768
6312,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,14.076651952035,2,0,-71.0783474666667,42.3624361666667,0.00785471164272987,1,1475500804
6313,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,12.1077333607126,4,0,-71.0783157333334,42.3629580333333,0.0101529844612189,1,1475500808
6314,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,12.8987036694344,3,0,-71.0783516666667,42.3635132666667,0.00890109354997963,1,1475500813
6317,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,9.92889586049805,5,0,-71.0770556333333,42.3651693333333,0.00939412813052852,1,1475500852
6318,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,14.758870520635,3,0,-71.0766100333333,42.3656596666667,0.0102367365414372,1,1475500859
6322,"169d86a9ab037a1f945dbd9decc87a0d559eb080cd39886fa44cff1c0bdcf3a2",3,13.0714532037396,3,0,-71.0741175,42.3682147,0.00903867776478461,1,1475500950
16406,"29300ca9dcf44dd8d496059ffb55630adb67ee261137cb5c3b71a332d149e02e",8,0.0752161338353772,4569,0,-71.0833956125,42.362393925,0.00506706610025368,1,1475669776
16407,"29300ca9dcf44dd8d496059ffb55630adb67ee261137cb5c3b71a332d149e02e",3,0.00647089504728015,29702,0,-71.0837621,42.3625882666667,0.00216430148478848,1,1475674575
35199,"5913d467bbad41e0221ab1b8760ed47dcff7c964be3931eae7211c593a3a7095",3,0.157854467610935,293,0,-71.0872780333333,42.3650599666667,0.00192550766808793,1,1475499131
35200,"5913d467bbad41e0221ab1b8760ed47dcff7c964be3931eae7211c593a3a7095",3,0.0038748350800682,6848,0,-71.0882334666667,42.365423,0.00335874887515071,1,1475499555
35201,"5913d467bbad41e0221ab1b8760ed47dcff7c964be3931eae7211c593a3a7095",7,0.0599108084737216,16406,0,-71.0871386285714,42.3650751142857,0.00671506028311888,1,1475506563
35215,"5913d467bbad41e0221ab1b8760ed47dcff7c964be3931eae7211c593a3a7095",22,0.121832025811139,20178,1,-71.0872666863636,42.3651381090909,0.0109120092491794,1,1475586607
35216,"5913d467bbad41e0221ab1b8760ed47dcff7c964be3931eae7211c593a3a7095",3,0.203894450096814,267,0,-71.0879239666667,42.3644299666667,0.00626163578010972,1,1475606939
35217,"5913d467bbad41e0221ab1b8760ed47dcff7c964be3931eae7211c593a3a7095",5,0.0579027745905679,4564,0,-71.08733592,42.3651215,0.00769402584582001,1,1475607405
35225,"5913d467bbad41e0221ab1b8760ed47dcff7c964be3931eae7211c593a3a7095",11,0.101315382596675,5856,0,-71.0872346272727,42.3651851909091,0.0106679057625926,1,1475672010
35231,"5913d467bbad41e0221ab1b8760ed47dcff7c964be3931eae7211c593a3a7095",20,0.12479457246553,9710,1,-71.08730353,42.365048885,0.00868436880068374,1,1475688791
35251,"5913d467bbad41e0221ab1b8760ed47dcff7c964be3931eae7211c593a3a7095",13,0.0518610974022281,25361,1,-71.0872395,42.3651707230769,0.012013270264453,1,1475762071
35262,"5913d467bbad41e0221ab1b8760ed47dcff7c964be3931eae7211c593a3a7095",16,0.0726282883872454,20857,0,-71.0872189375,42.365150075,0.00963858401501975,1,1475843592
35264,"5913d467bbad41e0221ab1b8760ed47dcff7c964be3931eae7211c593a3a7095",4,0.0852815271068947,4085,0,-71.087278,42.36515305,0.00728091457609404,1,1475865196
55878,"9f7e9572ec0a260e9152365812365d5dc53bb957c0f96444fba0cf12e171301e",3,0.125293761160014,5651,0,-71.0801735,42.3656817333333,0.00879005836908704,1,1475522493
55934,"9f7e9572ec0a260e9152365812365d5dc53bb957c0f96444fba0cf12e171301e",3,0.364852755959782,240,0,-71.0798714666667,42.3654315666667,0.00873469769113604,1,1475666367
55978,"9f7e9572ec0a260e9152365812365d5dc53bb957c0f96444fba0cf12e171301e",4,0.0113910462563528,4711,0,-71.079986075,42.36505355,0.00366152847116831,1,1475764272
55981,"9f7e9572ec0a260e9152365812365d5dc53bb957c0f96444fba0cf12e171301e",5,0.720944776837332,6115,0,-71.0803085,42.36497118,0.00522898870947388,1,1475770078
55983,"9f7e9572ec0a260e9152365812365d5dc53bb957c0f96444fba0cf12e171301e",3,0.543067031755379,172,0,-71.0799257,42.3656427,0.00536680976756605,1,1475788022
66502,"be3bee9d60fc3ad8f2515c9e9655ee4ce2e1fe4ccaf9638aa189276315fd25cf",9,0.215565006778522,1862,0,-71.0911146888889,42.3663394666667,0.0102440642935653,1,1475857810
67532,"c25029a7c050bc5fa047f48e3845651917372c6aaa97cea97a693c2df147f83a",3,0.160623966693354,301,0,-71.0873439666667,42.3674392,0.0122363044994429,1,1475515038
67537,"c25029a7c050bc5fa047f48e3845651917372c6aaa97cea97a693c2df147f83a",4,0.118913446581157,875,0,-71.08754475,42.367432475,0.011195879725638,1,1475517828
67539,"c25029a7c050bc5fa047f48e3845651917372c6aaa97cea97a693c2df147f83a",6,0.333333849585911,1327,0,-71.0878228166667,42.3671984166667,0.00892237754520841,1,1475519281
71599,"cd1610f36c4b799aa71067fc4dce580c609245dbeb054eb8074321bf08f1c894",3,1.62417865809743,20,0,-71.0728217666667,42.3689258333333,0.00752240578788931,1,1475506716
73620,"cda83a0747ae5ec12660df838b2d5659985c0c6dd3ba8642c966973ad7664ff4",28,0.158532774817033,15697,1,-71.0819252464286,42.363891175,0.00747682184469716,1,1475498511
73621,"cda83a0747ae5ec12660df838b2d5659985c0c6dd3ba8642c966973ad7664ff4",5,0.0990791003081186,2477,0,-71.0814447,42.36401608,0.0072989318864427,1,1475517722
73623,"cda83a0747ae5ec12660df838b2d5659985c0c6dd3ba8642c966973ad7664ff4",11,0.13688884021796,8128,0,-71.0819903181818,42.3638467272727,0.0093118609769827,1,1475520449
73627,"cda83a0747ae5ec12660df838b2d5659985c0c6dd3ba8642c966973ad7664ff4",39,0.12047260122773,30538,2,-71.0819549461538,42.363865374359,0.0083414354722268,1,1475584402
73629,"cda83a0747ae5ec12660df838b2d5659985c0c6dd3ba8642c966973ad7664ff4",12,0.155333288768632,8412,0,-71.0820109083333,42.3638832083333,0.00466659347676763,1,1475671555
73632,"cda83a0747ae5ec12660df838b2d5659985c0c6dd3ba8642c966973ad7664ff4",28,0.132179938182526,13335,0,-71.0820153892857,42.3638593571429,0.00462354774652429,1,1475688309
73634,"cda83a0747ae5ec12660df838b2d5659985c0c6dd3ba8642c966973ad7664ff4",19,0.11729629743611,30061,1,-71.0819589526316,42.3638583263158,0.00640530159949538,1,1475758349
82723,"ee692a1a7ae2ce94b532becace039ca2a42618141959c3d48cf369ce82a9ea25",3,0.157845927983431,690,0,-71.0928758666667,42.3661653333333,0.0109356210985118,1,1475666343
82725,"ee692a1a7ae2ce94b532becace039ca2a42618141959c3d48cf369ce82a9ea25",4,0.160751301112283,737,0,-71.09297535,42.366279675,0.00611310273194397,1,1475667327
82727,"ee692a1a7ae2ce94b532becace039ca2a42618141959c3d48cf369ce82a9ea25",3,0.171658383272465,635,0,-71.0931079666667,42.3662173,0.00595303453223283,1,1475668672
89429,"f92f42227649c99dc3cb952a2ab7505e766872ce6cf76964bac6bf4c10dc9f0b",3,0.0784035245471866,1195,0,-71.0879469666667,42.3665782666667,0.0110172240805044,1,1475502188
89431,"f92f42227649c99dc3cb952a2ab7505e766872ce6cf76964bac6bf4c10dc9f0b",3,0.952209417684327,144,0,-71.0878167333333,42.3670399666667,0.0144189188785137,1,1475504874
89446,"f92f42227649c99dc3cb952a2ab7505e766872ce6cf76964bac6bf4c10dc9f0b",4,0.246782673650147,10729,0,-71.087977525,42.366766575,0.00821075173679786,1,1475579061
89455,"f92f42227649c99dc3cb952a2ab7505e766872ce6cf76964bac6bf4c10dc9f0b",10,0.407714150804685,5330,1,-71.08786215,42.36686127,0.0138629851247661,1,1475666575
7672,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",4,0.228663087887357,477,0,-71.09208275,42.366534275,0.00621071054108442,1,1475671099
7674,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",7,0.197914688218253,2814,0,-71.0918166714286,42.3663716857143,0.00690342221653541,1,1475672063
7679,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",4,0.288467291682338,714,0,-71.09184605,42.36638025,0.0176184615510863,1,1475677405
7681,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",5,0.15692394044075,813,0,-71.09199772,42.36652236,0.00721892993580522,1,1475678675
7683,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",3,0.234186446689285,463,0,-71.0917512333333,42.366368,0.00668629177322739,1,1475679942
7684,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",3,0.133811543648959,630,0,-71.0922259,42.3664009333333,0.00953557390173049,1,1475680546
7685,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",4,0.153620409389662,934,0,-71.091722975,42.366519275,0.00406707738755385,1,1475681827
7688,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",3,0.263947128829798,459,0,-71.0919009,42.3664073666667,0.0123245704268426,1,1475684417
7690,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",3,0.0611271788482516,1500,0,-71.0916224,42.3664836,0.00800787693173531,1,1475685976
7693,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",3,0.203598643426635,413,0,-71.0921795,42.3666528333333,0.00658847540772132,1,1475688294
7695,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",3,0.0895502827750361,1567,0,-71.0919665,42.3665387666667,0.0115474013525756,1,1475689273
7696,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",6,0.228153047909145,907,0,-71.0919311,42.3663478666667,0.00576267136630242,1,1475690971
7699,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",4,0.245149084775732,733,0,-71.091897075,42.366340125,0.00395817783557136,1,1475693412
7705,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",3,0.190498864649663,749,0,-71.0920664333333,42.3664690333333,0.00730323829875749,1,1475695728
7707,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",5,0.249737031751123,797,0,-71.09202502,42.3664774,0.00607578365417922,1,1475697077
7709,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",8,0.154031543914231,2008,1,-71.0919710875,42.3664895625,0.00751523589094156,1,1475698199
7711,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",4,0.0847672194010304,1377,0,-71.0921154,42.36648505,0.00343948468565083,1,1475700694
7712,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",7,0.185385063624375,3079,0,-71.0918866571429,42.3663152714286,0.0115877583028168,1,1475702488
7713,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",3,0.215699906651627,427,0,-71.0917926,42.3664259666667,0.00676240834525195,1,1475705709
7717,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",16,0.195599478150366,6547,0,-71.091932975,42.36647474375,0.00896529827355866,1,1475754003
7720,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",10,0.135953200393627,3774,0,-71.09203402,42.36644243,0.0119223542174604,1,1475761464
7722,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",3,0.125574232824683,823,0,-71.0921794666667,42.3663806333333,0.00625055163661731,1,1475765530
7724,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",5,0.209157591671431,816,0,-71.0919859,42.36652558,0.00466221928182771,1,1475767612
7740,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",6,0.115746338792365,2832,0,-71.0919938,42.36648505,0.0112900354724746,1,1475849043
7742,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",36,0.238201800690779,11623,1,-71.091902375,42.3664179027778,0.0110652109747019,1,1475852329
7744,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",4,0.210221069027613,963,0,-71.091908675,42.366346825,0.0083408715111655,1,1475864472
7746,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",9,0.0838937031886732,4523,0,-71.0917385555556,42.3664439222222,0.00400155587770918,1,1475867071
7748,"12678c58babd9fdd51bf60616ea8482182dc7a2a83c93ee7970525a69e037edb",4,0.230164618009491,696,0,-71.091881175,42.366435975,0.00560236754194045,1,1475871907
33157,"49efe7b351d9a7402b83b2c3173a5c7bc1adb9d98de9d8dc58ddbd79beedaa7f",16,0.177450589811958,11010,0,-71.0908954625,42.364756975,0.0139911637530647,1,1475498836
